,B-ARG0,B-ARG1,B-ARG1-DSP,B-ARG2,B-ARG3,B-ARG4,B-ARG5,B-ARGA,B-ARGM-ADJ,B-ARGM-ADV,B-ARGM-CAU,B-ARGM-COM,B-ARGM-CXN,B-ARGM-DIR,B-ARGM-DIS,B-ARGM-EXT,B-ARGM-GOL,B-ARGM-LOC,B-ARGM-LVB,B-ARGM-MNR,B-ARGM-MOD,B-ARGM-NEG,B-ARGM-PRD,B-ARGM-PRP,B-ARGM-PRR,B-ARGM-REC,B-ARGM-TMP,B-V,O,accuracy,macro avg,weighted avg
precision,0.8808760683760684,0.8713013501867279,0.0,0.8028802880288028,0.7058823529411765,0.6451612903225806,0.0,0.0,0.7429906542056075,0.6978723404255319,0.5686274509803921,0.5,0.7083333333333334,0.4222222222222222,0.8057142857142857,0.7980769230769231,0.375,0.6652892561983471,0.7746478873239436,0.5693430656934306,0.9388185654008439,0.9354838709677419,0.4166666666666667,0.6410256410256411,0.7428571428571429,0.0,0.0,0.043134151167392165,0.0,0.07582965718075138,0.5259380967970622,0.11005945731474255
recall,0.9100441501103753,0.8941627358490566,0.0,0.7804024496937882,0.46153846153846156,0.7142857142857143,0.0,0.0,0.6883116883116883,0.6626262626262627,0.6304347826086957,0.5,1.0,0.3958333333333333,0.7747252747252747,0.7904761904761904,0.25,0.7092511013215859,0.7971014492753623,0.49056603773584906,0.9549356223175965,0.9766839378238342,0.3409090909090909,0.6493506493506493,0.7536231884057971,0.0,0.0,0.0024382332874766524,0.0,0.07582965718075138,0.5216448397926235,0.07582965718075138
f1-score,0.8952225841476655,0.8825840244434745,0.0,0.7914818101153505,0.5581395348837209,0.6779661016949152,0.0,0.0,0.7146067415730337,0.6797927461139897,0.5979381443298969,0.5,0.8292682926829268,0.40860215053763443,0.7899159663865546,0.7942583732057417,0.3,0.6865671641791045,0.7857142857142857,0.527027027027027,0.9468085106382979,0.9556400506970849,0.375,0.6451612903225806,0.7482014388489209,0.0,0.0,0.004615563765707208,0.0,0.07582965718075138,0.5205004069416522,0.07727715271146442
support,1812.0,3392.0,5.0,1143.0,78.0,56.0,1.0,2.0,231.0,495.0,46.0,14.0,17.0,48.0,182.0,105.0,24.0,227.0,69.0,159.0,466.0,386.0,44.0,77.0,69.0,568.0,4924.0,89409.0,0.0,0.07582965718075138,104049.0,104049.0
